Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C8","100nF","C_0402_1005Metric",10.450000,11.650000,-90.000000,bottom
"C9","100nF","C_0402_1005Metric",6.500000,20.300000,90.000000,bottom
"C11","1uF","C_0402_1005Metric",13.250000,16.050000,0.000000,bottom
"C12","10nF","C_0402_1005Metric",14.125000,22.950000,0.000000,bottom
"C13","4.7nF","C_0402_1005Metric",26.005000,19.050000,180.000000,bottom
"C15","10nF","C_0402_1005Metric",18.270000,16.650000,180.000000,bottom
"C16","4.7nF","C_0402_1005Metric",26.020000,11.850000,180.000000,bottom
"C18","10nF","C_0402_1005Metric",17.100000,10.000000,180.000000,bottom
"C19","4.7nF","C_0402_1005Metric",26.000000,4.650000,180.000000,bottom
"C41","22uF","C_0805_nosilk",17.000000,25.300000,90.000000,bottom
"C42","22uF","C_0805_nosilk",15.000000,25.300000,90.000000,bottom
"C43","22uF","C_0805_nosilk",13.000000,25.300000,90.000000,bottom
"C44","22uF","C_0805_nosilk",11.000000,25.300000,90.000000,bottom
"C45","22uF","C_0805_nosilk",9.000000,25.300000,90.000000,bottom
"C46","22uF","C_0805_nosilk",7.000000,25.300000,90.000000,bottom
"C47","22uF","C_0805_nosilk",10.000000,22.600000,180.000000,bottom
"C48","22uF","C_0805_nosilk",6.600000,22.600000,180.000000,bottom
"C49","22uF","C_0805_nosilk",17.000000,1.700000,-90.000000,bottom
"C50","22uF","C_0805_nosilk",15.000000,1.700000,-90.000000,bottom
"C51","22uF","C_0805_nosilk",13.000000,1.700000,-90.000000,bottom
"C52","22uF","C_0805_nosilk",11.000000,1.700000,-90.000000,bottom
"C53","22uF","C_0805_nosilk",9.000000,1.700000,-90.000000,bottom
"C54","22uF","C_0805_nosilk",7.000000,1.700000,-90.000000,bottom
"C55","22uF","C_0805_nosilk",13.350000,4.400000,180.000000,bottom
"C56","22uF","C_0805_nosilk",10.650000,5.100000,90.000000,bottom
"C57","22uF","C_0805_nosilk",8.650000,5.100000,90.000000,bottom
"C58","100nF","C_0402_1005Metric",5.230000,4.250000,180.000000,bottom
"D7","SMF15A","D_SMF",20.400000,11.000000,0.000000,bottom
"J6","SWD","JST_SM04B-SRSS-TB(LF)(SN)",5.000000,7.950000,90.000000,bottom
"J8","RS485","JST_SM02B-SRSS-TB(LF)(SN)",3.005000,20.500000,90.000000,bottom
"J9","RS485","JST_SM02B-SRSS-TB(LF)(SN)",3.005000,15.500000,90.000000,bottom
"R3","2.2k","R_0402_1005Metric",14.125000,21.040000,0.000000,bottom
"R5","2.2k","R_0402_1005Metric",14.125000,20.100000,0.000000,bottom
"R6","2.2k","R_0402_1005Metric",14.100000,9.100000,0.000000,bottom
"R7","1k","R_0402_1005Metric",7.450000,20.300000,-90.000000,bottom
"R9","13.7k","R_0402_1005Metric",12.150000,10.950000,0.000000,bottom
"R12","2.2R","R_0402_1005Metric",24.155000,19.050000,180.000000,bottom
"R14","27.4k","R_0402_1005Metric",11.350000,8.050000,-90.000000,bottom
"R15","1.78k","R_0402_1005Metric",14.125000,21.990000,180.000000,bottom
"R16","27.4k","R_0402_1005Metric",9.300000,7.850000,0.000000,bottom
"R17","1.78k","R_0402_1005Metric",12.200000,21.500000,-90.000000,bottom
"R18","PU2512FKMP50R002L","R_Shunt_2512_6332Metric",19.950000,21.450000,180.000000,bottom
"R21","2.2R","R_0402_1005Metric",24.150000,11.850000,180.000000,bottom
"R23","27.4k","R_0402_1005Metric",5.300000,17.500000,90.000000,bottom
"R24","1.78k","R_0402_1005Metric",14.125000,19.150000,180.000000,bottom
"R25","27.4k","R_0402_1005Metric",6.300000,17.500000,-90.000000,bottom
"R26","1.78k","R_0402_1005Metric",12.250000,17.850000,180.000000,bottom
"R27","PU2512FKMP50R002L","R_Shunt_2512_6332Metric",19.950000,14.250000,180.000000,bottom
"R30","2.2R","R_0402_1005Metric",24.150000,4.650000,180.000000,bottom
"R32","27.4k","R_0402_1005Metric",8.050000,15.900000,-90.000000,bottom
"R33","1.78k","R_0402_1005Metric",14.100000,7.500000,180.000000,bottom
"R34","27.4k","R_0402_1005Metric",8.050000,17.800000,-90.000000,bottom
"R35","1.78k","R_0402_1005Metric",14.100000,6.500000,180.000000,bottom
"R36","PU2512FKMP50R002L","R_Shunt_2512_6332Metric",19.950000,7.450000,180.000000,bottom
"U2","THVD1420DRLR","THVD1420DRLR_SOT-585",6.900000,13.950000,135.000000,bottom
"U3","MA732GQ-Z","QFN-16_MA732",13.436600,13.512800,180.000000,bottom
"C1","100nF","C_0402_1005Metric",4.750000,18.580000,90.000000,top
"C2","47uF","C_0603_1608Metric",1.050000,13.350000,90.000000,top
"C3","10uF","C_0603_1608Metric",2.550000,13.350000,-90.000000,top
"C4","100nF","C_0402_1005Metric",13.400000,16.380000,-90.000000,top
"C5","100nF","C_0402_1005Metric",14.050000,12.900000,-90.000000,top
"C6","100nF","C_0402_1005Metric",3.900000,11.120000,-90.000000,top
"C7","1nF","C_0402_1005Metric",12.100000,8.080000,-90.000000,top
"C10","100nF","C_0402_1005Metric",6.050000,8.900000,180.000000,top
"C14","1nF","C_0402_1005Metric",8.300000,7.650000,180.000000,top
"C17","1nF","C_0402_1005Metric",2.750000,16.050000,-90.000000,top
"C20","1nF","C_0402_1005Metric",6.200000,19.050000,180.000000,top
"C21","22uF","C_0805_nosilk",5.875000,25.300000,90.000000,top
"C22","22uF","C_0805_nosilk",7.850000,25.300000,90.000000,top
"C23","22uF","C_0805_nosilk",9.825000,25.300000,90.000000,top
"C24","22uF","C_0805_nosilk",11.800000,25.300000,90.000000,top
"C25","22uF","C_0805_nosilk",13.775000,25.300000,90.000000,top
"C26","22uF","C_0805_nosilk",15.750000,25.300000,90.000000,top
"C27","22uF","C_0805_nosilk",5.875000,21.900000,-90.000000,top
"C28","22uF","C_0805_nosilk",7.850000,21.900000,-90.000000,top
"C29","22uF","C_0805_nosilk",9.825000,21.900000,-90.000000,top
"C30","22uF","C_0805_nosilk",11.800000,21.900000,-90.000000,top
"C31","22uF","C_0805_nosilk",14.050000,21.900000,-90.000000,top
"C32","22uF","C_0805_nosilk",6.025000,1.700000,-90.000000,top
"C33","22uF","C_0805_nosilk",8.000000,1.700000,-90.000000,top
"C34","22uF","C_0805_nosilk",9.975000,1.700000,-90.000000,top
"C35","22uF","C_0805_nosilk",11.950000,1.700000,-90.000000,top
"C36","22uF","C_0805_nosilk",13.925000,1.700000,-90.000000,top
"C37","22uF","C_0805_nosilk",15.900000,1.700000,-90.000000,top
"C38","22uF","C_0805_nosilk",13.000000,5.100000,90.000000,top
"C39","22uF","C_0805_nosilk",11.025000,5.100000,90.000000,top
"C40","22uF","C_0805_nosilk",9.050000,5.100000,90.000000,top
"D1","SDM2U30CSP","SDM2U30CSP-7",4.000000,8.800000,0.000000,top
"D3","GREEN","LED_0603_1608Metric",0.750000,21.487500,90.000000,top
"D4","SDM2U30CSP","SDM2U30CSP-7",1.000000,15.950000,90.000000,top
"D5","SDM2U30CSP","SDM2U30CSP-7",2.934000,17.600000,180.000000,top
"D6","RED","LED_0603_1608Metric",0.750000,18.512500,90.000000,top
"L1","22uH","IND_VLS201612CX-220M-1",1.550000,10.600000,-90.000000,top
"Q1","CSD88584Q5DC","CSD88584Q5DCT",19.950000,20.500000,180.000000,top
"Q2","CSD88584Q5DC","CSD88584Q5DCT",19.950000,13.500000,180.000000,top
"Q3","CSD88584Q5DC","CSD88584Q5DCT",19.950000,6.500000,180.000000,top
"R1","1k","R_0402_1005Metric",1.950000,19.150000,90.000000,top
"R2","1k","R_0402_1005Metric",1.950000,21.200000,90.000000,top
"R4","121k","R_0402_1005Metric",11.100000,8.090000,90.000000,top
"R8","54.9k","R_0402_1005Metric",6.050000,7.950000,180.000000,top
"R10","13.7k","R_0402_1005Metric",6.050000,7.000000,0.000000,top
"R11","10R","R_0402_1005Metric",14.940000,15.950000,0.000000,top
"R13","10R","R_0402_1005Metric",15.750000,18.300000,180.000000,top
"R19","13.7k","R_0402_1005Metric",8.300000,8.600000,180.000000,top
"R20","10R","R_0402_1005Metric",15.900000,10.250000,0.000000,top
"R22","10R","R_0402_1005Metric",14.050000,14.300000,180.000000,top
"R28","13.7k","R_0402_1005Metric",3.700000,16.030000,-90.000000,top
"R29","10R","R_0402_1005Metric",13.550000,9.200000,0.000000,top
"R31","10R","R_0402_1005Metric",13.550000,10.150000,180.000000,top
"R37","13.7k","R_0402_1005Metric",6.200000,18.100000,180.000000,top
"U1","STSPIN32F0ATR","VFQFPN-48-1EP_7x7mm_P0.5mm_EP2.8x2.8mm",8.500000,13.500000,0.000000,top
