Comment,Designator,Footprint,LCSC
"100nF","C1,C4,C5,C6,C8,C9,C10,C58","Capacitor_SMD:C_0402_1005Metric","C307331"
"1uF","C11","Capacitor_SMD:C_0402_1005Metric","C52923"
"10nF","C12,C15,C18","Capacitor_SMD:C_0402_1005Metric","C15195"
"4.7nF","C13,C16,C19","Capacitor_SMD:C_0402_1005Metric","C1538"
"47uF","C2","Capacitor_SMD:C_0603_1608Metric","C140782"
"22uF","C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57","O32controller:C_0805_nosilk","C45783"
"10uF","C3","Capacitor_SMD:C_0603_1608Metric","C194427"
"1nF","C7,C14,C17,C20","Capacitor_SMD:C_0402_1005Metric","C1523"
"SDM2U30CSP","D1,D4,D5","O32controller:SDM2U30CSP-7",""
"GREEN","D3","LED_SMD:LED_0603_1608Metric","C125098"
"RED","D6","LED_SMD:LED_0603_1608Metric","C2286"
"SMF15A-TP ","D7","Diode_SMD:D_SMF","C914420"
"SWD","J6","O32controller:JST_SM04B-SRSS-TB(LF)(SN)",""
"RS485","J8,J9","O32controller:JST_SM02B-SRSS-TB(LF)(SN)","C160402"
"22uH","L1","O32controller:IND_VLS201612CX-220M-1","C2044426"
"CSD88584Q5DC","Q1,Q2,Q3","O32controller:CSD88584Q5DCT",""
"1k","R1,R2,R7","Resistor_SMD:R_0402_1005Metric","C11702"
"10R","R11,R13,R20,R22,R29,R31","Resistor_SMD:R_0402_1005Metric","C854481"
"2.2R","R12,R21,R30","Resistor_SMD:R_0402_1005Metric","C131536"
"27.4k","R14,R16,R23,R25,R32,R34","Resistor_SMD:R_0402_1005Metric","C273730"
"1.78k","R15,R17,R24,R26,R33,R35","Resistor_SMD:R_0402_1005Metric","C284379"
"PU2512FKMP50R002L","R18,R27,R36","O32controller:R_Shunt_2512_6332Metric","C2090861"
"2.2k","R3,R5,R6","Resistor_SMD:R_0402_1005Metric","C25879"
"33k","R4","Resistor_SMD:R_0402_1005Metric","C25779"
"54.9k","R8","Resistor_SMD:R_0402_1005Metric","C137959"
"13.7k","R9,R10,R19,R28,R37","Resistor_SMD:R_0402_1005Metric","C274888"
"STSPIN32F0ATR","U1","O32controller:VFQFPN-48-1EP_7x7mm_P0.5mm_EP2.8x2.8mm","C2651733"
"THVD1420DRLR","U2","O32controller:THVD1420DRLR_SOT-585",""
"MA732GQ-Z","U3","O32controller:QFN-16_MA732",""
