designator,quantity,value,pack,mpn,mount_type
"C1, C10, C4, C5, C58, C6, C8, C9",8,100nF,C_0402_1005Metric,CL05A104KA5NNNC ,smt
C11,1,1uF,C_0402_1005Metric,GCM155C71A105KE38D,smt
"C12, C15, C18",3,10nF,C_0402_1005Metric,CL05B103KB5NNNC,smt
"C13, C16, C19",3,4.7nF,C_0402_1005Metric,GRM155R72A472KA01D,smt
"C14, C17, C20, C7",4,1nF,C_0402_1005Metric,CC0402MRX7R9BB102,smt
C2,1,47uF,C_0603_1608Metric,GRM188R60J476ME15D,smt
"C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57",37,22uF,C_0805_nosilk,CL21A226MAQNNNE,smt
C3,1,10uF,C_0603_1608Metric,GRM188R6YA106MA73D,smt
"D1, D4, D5",3,SDM2U30CSP,SDM2U30CSP-7,SDM2U30CSP-7,smt
D2,1,ESDA17P20-1F2,SMT2_0P91X0P63_STM-L,ESDA17P20-1F2,smt
D3,1,GREEN,LED_0603_1608Metric,LTST-C191KGKT,smt
D6,1,RED,LED_0603_1608Metric,LTST-C191KRKT,smt
"J1, J2",2,BATT+,SolderWire-Actual_1x01_D1.7mm_OD_2.75mm,,tht
"J10, J11, J12",3,Motor Connection,SolderWire-Actual_1x01_D1.7mm_OD_2.75mm,,tht
"J3, J4",2,BATT-,SolderWire-Actual_1x01_D1.7mm_OD_2.75mm,,tht
J5,1,NTC,SolderNTC-1.27mm,,tht
J6,1,SWD,JST_SM04B-SRSS-TB(LF)(SN),SM04B-SRSS-TB(LF)(SN),smt
J7,1,ExternalSPI,FFC_0.5mm_6p,,tht
"J8, J9",2,RS485,JST_SM02B-SRSS-TB(LF)(SN),SM02B-SRSS-TB_LF__SN_,smt
L1,1,22uH,IND_VLS201612CX-220M-1,VLS201612CX-220M-1 ,smt
"NT1, NT2, NT3",3,Sense_N,NetTie-2_SMD_Pad0.25mm,,tht
"Q1, Q2, Q3",3,CSD88584Q5DC,CSD88584Q5DCT,CSD88584Q5DC,smt
"R1, R2, R7",3,1k,R_0402_1005Metric,RC0402FR-071KL,smt
"R10, R19, R28, R37, R9",5,13.7k,R_0402_1005Metric,RC0402FR-0713K7L ,smt
"R11, R13, R20, R22, R29, R31",6,10R,R_0402_1005Metric,SR0402FR-7T10RL,smt
"R12, R21, R30",3,2.2R,R_0402_1005Metric,CRCW04022R20JNEDHP,smt
"R14, R16, R23, R25, R32, R34",6,27.4k,R_0402_1005Metric,RC0402FR-0727K4L ,smt
"R15, R17, R24, R26, R33, R35",6,1.78k,R_0402_1005Metric,RC0402FR-071K78L ,smt
"R18, R27, R36",3,PU2512FKMP50R002L,R_Shunt_2512_6332Metric,PU2512FKMP50R002L,smt
"R3, R5, R6",3,2.2k,R_0402_1005Metric,RC0402FR-072K2L,smt
R4,1,121k,R_0402_1005Metric,AF0402FR-07121KL,smt
R8,1,54.9k,R_0402_1005Metric,RC0402FR-0754K9L,smt
"TP1, TP3",2,TestPoint,TestPoint_Pad_Rect,,tht
U1,1,STSPIN32F0ATR,VFQFPN-48-1EP_7x7mm_P0.5mm_EP2.8x2.8mm,STSPIN32F0ATR,smt
U2,1,THVD1420DRLR,THVD1420DRLR_SOT-585,THVD1420DRLR,smt
U3,1,MA702GQ-P,MA702GQ-P,MA702GQ-P,smt
